yyyymmdd,yyyy-mm-dd,year,month,day,hour,minute,second,julfrac,Latitude,Longitude,Static_Pressure,MSL_GPS_Altitude,NO2_CL
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,1.0,42222.958344907405,47.846641,-116.178632,520.24,5540.0,0.00853
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,2.0,42222.95835648148,47.847873,-116.180561,519.75,5547.0,-0.00825
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,3.0,42222.95836805556,47.849105,-116.182491,519.22,5555.0,-0.0251
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,4.0,42222.95837962963,47.850339,-116.184419,518.68,5563.0,0.00988
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,5.0,42222.958391203705,47.851575,-116.186347,518.15,5571.0,0.01251
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,6.0,42222.958402777775,47.852812,-116.188274,517.6,5578.0,0.02337
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,7.0,42222.95841435185,47.854051,-116.190201,517.09,5586.0,-0.0019
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,8.0,42222.95842592593,47.855291,-116.192126,516.58,5594.0,0.01607
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,9.0,42222.9584375,47.856533,-116.194051,516.07,5601.0,0.02826
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,10.0,42222.95844907408,47.857776,-116.195974,515.58,5609.0,0.01368
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,11.0,42222.95846064815,47.85902,-116.197897,515.08,5617.0,0.03182
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,12.0,42222.95847222222,47.860266,-116.199819,514.57,5624.0,-0.00812
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,13.0,42222.9584837963,47.861513,-116.201739,514.06,5632.0,-0.02088
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,14.0,42222.95849537037,47.862762,-116.203659,513.57,5639.0,-0.00704
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,15.0,42222.95850694445,47.864012,-116.205577,513.07,5647.0,0.01958
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,16.0,42222.95851851852,47.865264,-116.207494,512.56,5654.0,0.00744
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,17.0,42222.95853009259,47.866516,-116.209412,512.06,5662.0,0.01737
20190807,2019-08-07,2019.0,8.0,7.0,23.0,0.0,18.0,42222.95854166667,47.867764,-116.211335,511.57,5669.0,0.05458
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,57.0,42222.9596875,47.921505,-116.433614,419.67,7169.0,0.06131
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,58.0,42222.95969907408,47.921473,-116.435784,419.17,7177.0,0.03647
20190807,2019-08-07,2019.0,8.0,7.0,23.0,1.0,59.0,42222.95971064815,47.921445,-116.437955,418.65,7186.0,-0.0201
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,0.0,42222.95972222222,47.921427,-116.440125,418.16,7194.0,0.0522
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,1.0,42222.9597337963,47.92142,-116.442295,417.68,7202.0,0.10108
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,2.0,42222.95974537037,47.921428,-116.444466,417.2,7211.0,0.09709
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,3.0,42222.959756944445,47.921452,-116.446636,416.74,7219.0,0.01834
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,4.0,42222.95976851852,47.921492,-116.448807,416.27,7227.0,0.04963
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,5.0,42222.95978009259,47.921547,-116.450977,415.83,7234.0,0.02585
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,6.0,42222.95979166667,47.921619,-116.453147,415.38,7242.0,0.03411
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,7.0,42222.95980324074,47.92171,-116.455315,414.94,7250.0,0.0354
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,8.0,42222.959814814814,47.921819,-116.45748,414.46,7259.0,0.05656
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,9.0,42222.95982638889,47.921946,-116.459643,413.98,7267.0,0.07633
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,10.0,42222.95983796296,47.92209,-116.461804,413.54,7275.0,0.0674
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,11.0,42222.95984953704,47.922252,-116.463964,413.09,7284.0,0.04788
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,12.0,42222.95986111112,47.922431,-116.466122,412.65,7292.0,0.03049
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,13.0,42222.959872685184,47.922623,-116.468278,412.21,7299.0,0.07241
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,14.0,42222.95988425926,47.922825,-116.470433,411.78,7306.0,0.05518
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,15.0,42222.95989583333,47.923036,-116.472587,411.38,7313.0,0.02665
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,16.0,42222.95990740741,47.923255,-116.474741,411.01,7320.0,0.01768
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,17.0,42222.95991898148,47.923479,-116.476896,410.64,7326.0,-0.00192
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,18.0,42222.95993055555,47.923707,-116.479051,410.28,7332.0,0.09652
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,19.0,42222.95994212963,47.923939,-116.481208,409.93,7338.0,0.02172
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,20.0,42222.95995370371,47.924173,-116.483366,409.62,7344.0,0.04032
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,21.0,42222.959965277776,47.924408,-116.485526,409.3,7349.0,0.01541
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,22.0,42222.95997685185,47.924644,-116.487688,409.0,7355.0,0.02098
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,23.0,42222.95998842592,47.924881,-116.489852,408.74,7359.0,0.01905
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,24.0,42222.96,47.925117,-116.492018,408.46,7364.0,0.02968
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,25.0,42222.96001157408,47.925353,-116.494187,408.16,7369.0,0.01512
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,26.0,42222.96002314815,47.925589,-116.496357,407.88,7374.0,0.01584
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,27.0,42222.96003472222,47.925825,-116.498528,407.6,7380.0,0.05431
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,28.0,42222.9600462963,47.926061,-116.500702,407.32,7385.0,0.01305
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,29.0,42222.96005787037,47.926296,-116.502877,407.02,7390.0,0.0686
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,30.0,42222.960069444445,47.926532,-116.505054,406.71,7396.0,0.01517
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,31.0,42222.96008101852,47.926768,-116.507233,406.41,7402.0,0.00258
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,32.0,42222.96009259259,47.927004,-116.509413,406.11,7407.0,0.00996
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,33.0,42222.96010416667,47.927242,-116.511595,405.8,7413.0,0.05549
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,34.0,42222.96011574074,47.927482,-116.513777,405.47,7419.0,0.03525
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,35.0,42222.960127314815,47.927722,-116.515961,405.15,7425.0,0.01324
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,36.0,42222.96013888889,47.92796,-116.518147,404.8,7431.0,0.05775
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,37.0,42222.96015046296,47.928193,-116.520336,404.49,7437.0,0.00179
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,38.0,42222.96016203704,47.928419,-116.522529,404.18,7443.0,0.05246
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,39.0,42222.96017361112,47.928637,-116.524726,403.92,7448.0,0.0585
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,40.0,42222.960185185184,47.92885,-116.526928,403.71,7452.0,0.0188
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,41.0,42222.96019675926,47.929056,-116.529135,403.46,7455.0,-0.01214
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,42.0,42222.96020833333,47.929254,-116.531347,403.29,7458.0,0.03154
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,43.0,42222.96021990741,47.929443,-116.533564,403.15,7461.0,0.03098
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,44.0,42222.96023148149,47.929622,-116.535787,402.93,7464.0,0.05231
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,45.0,42222.96024305555,47.929791,-116.538012,402.7,7467.0,0.00195
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,46.0,42222.96025462963,47.929954,-116.54024,402.54,7471.0,0.02489
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,47.0,42222.96026620371,47.930114,-116.542472,402.35,7475.0,0.04524
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,48.0,42222.960277777776,47.930271,-116.544706,402.13,7479.0,0.05836
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,49.0,42222.96028935185,47.930427,-116.546943,401.9,7483.0,0.0172
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,50.0,42222.96030092592,47.930582,-116.549183,401.68,7487.0,0.00491
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,51.0,42222.9603125,47.930737,-116.551426,401.47,7491.0,0.00159
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,52.0,42222.96032407408,47.930893,-116.553671,401.26,7494.0,0.04751
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,53.0,42222.96033564815,47.93105,-116.555918,401.05,7498.0,0.02907
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,54.0,42222.96034722222,47.931209,-116.558166,400.85,7501.0,0.03836
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,55.0,42222.9603587963,47.931371,-116.560417,400.67,7505.0,-0.00445
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,56.0,42222.96037037037,47.931536,-116.56267,400.47,7509.0,-0.01203
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,57.0,42222.960381944446,47.931703,-116.564925,400.23,7513.0,0.03299
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,58.0,42222.96039351852,47.931872,-116.567182,400.02,7517.0,0.07714
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,59.0,42222.96040509259,47.932044,-116.569441,399.81,7521.0,0.00756
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,0.0,42222.96041666667,47.932217,-116.571702,399.6,7525.0,-0.0023
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,1.0,42222.96042824074,47.932392,-116.573966,399.4,7529.0,0.06566
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,2.0,42222.960439814815,47.932566,-116.576233,399.19,7533.0,0.00753
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,3.0,42222.96045138889,47.93274,-116.578502,398.98,7536.0,-0.01928
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,4.0,42222.96046296296,47.932912,-116.580774,398.78,7540.0,0.00343
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,5.0,42222.96047453704,47.933082,-116.583049,398.57,7544.0,0.06175
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,6.0,42222.96048611112,47.933251,-116.585327,398.38,7547.0,0.01712
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,7.0,42222.960497685184,47.933417,-116.587609,398.18,7550.0,0.03374
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,8.0,42222.96050925926,47.933581,-116.589895,398.0,7553.0,0.01365
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,9.0,42222.96052083333,47.933743,-116.592186,397.85,7555.0,-0.0056
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,10.0,42222.96053240741,47.933898,-116.594481,397.73,7558.0,0.01659
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,11.0,42222.96054398149,47.934048,-116.59678,397.61,7560.0,0.07409
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,12.0,42222.96055555555,47.93419,-116.599084,397.47,7563.0,-0.01215
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,13.0,42222.96056712963,47.934325,-116.601393,397.33,7566.0,0.01739
