,index,Unnamed: 0,Time_Stop,Day_Of_Year,Latitude,Longitude,Pressure_Altitude,MSL_GPS_Altitude,Static_Air_Temp,Static_Pressure,CO_DACOM,CO2,H2O_DLH,NO_CL,NO2_CL,O3_CL,HNO3_CITCIMS,HNO3_PM1_NO3_SAGAMC,BC_mass_90_550_nm,OA_PM1_AMS,Sulfate_PM1_AMS,Nitrate_PM1_AMS,Ammonium_PM1_AMS,Smoke_flag,smoke_age,CH2O_ISAF,CH2O_CAMS,jNO2_NO_O3P_CAFS,PAN_GTCIMS,NH3_UIOPTR,convert_ppb_to_molec_cm3,M_molec_cm3,NOx_CL,Longitude_0to360,temperature_K,OA_PM1_AMS_ambient_og,OA_PM1_AMS_ambient,Sulfate_PM1_AMS_ambient,Nitrate_PM1_AMS_ambient,Ammonium_PM1_AMS_ambient,BC_mass_90_550_nm_ambient,DoY_corrected,Time_Stop_corrected,yyyymmdd,RF,year,month,day,hour,minute,second,julfrac,yyyy-mm-dd
0,25628,25628,79201.0,215.0,47.843446,-118.929772,23966.0,7615.0,-23.8,393.28,87.45,409.93,1991.19,-0.00864,0.03003,54.211,16.8,72.0,0.93,0.0041,0.2263,0.0178,0.0176,,,57.0,600.0,0.012332,141.1907,,11426408667.346264,1.1426408667346262e+19,0.02139,241.070228,249.35,0.0017432550734055,0.0017432550734055,0.0962191763686992,0.0075682781235653,0.0074832412907163,0.3954212727480791,215.0,79201.0,20190803,20190803,2019.0,8.0,3.0,22.0,0.0,1.0,42218.91667824074,2019-08-03
1,25629,25629,79202.0,215.0,47.842744,-118.932022,23965.0,7615.0,-23.8,393.3,87.41,410.04,1985.49,0.00264,0.0167,54.127,8.9,72.0,0.84,,,,,,,115.0,627.0,0.012332,139.4721,,11426989749.96767,1.1426989749967671e+19,0.01934,241.067978,249.35,,,,,,0.3571728608371403,215.0,79202.0,20190803,20190803,2019.0,8.0,3.0,22.0,0.0,2.0,42218.91668981482,2019-08-03
2,25630,25630,79203.0,215.0,47.842041,-118.934272,23965.0,7614.0,-23.8,393.3,87.36,409.96,1973.22,0.0028,-0.01248,53.87,7.1,72.0,0.0,,,,,,,10.0,631.0,0.012332,140.0,,11426989749.96767,1.1426989749967671e+19,-0.00968,241.065728,249.35,,,,,,0.0,215.0,79203.0,20190803,20190803,2019.0,8.0,3.0,22.0,0.0,3.0,42218.91670138889,2019-08-03
3,25631,25631,79204.0,215.0,47.841338,-118.936522,23964.0,7614.0,-23.8,393.32,87.42,410.06,1965.95,0.00211,-0.02534,53.808,22.5,72.0,8.76,,,,,,,151.0,532.0,0.012334,140.4794,,11427570832.589075,1.1427570832589076e+19,-0.02323,241.063478,249.35,,,,,,3.7249921043862826,215.0,79204.0,20190803,20190803,2019.0,8.0,3.0,22.0,0.0,4.0,42218.91671296296,2019-08-03
4,25632,25632,79205.0,215.0,47.840635,-118.938771,23962.0,7614.0,-23.79,393.35,87.4,409.93,1949.47,0.00272,-0.01397,53.984,14.2,72.0,0.0,,,,,,,118.0,501.0,0.012333,142.0408,,11427984145.546831,1.1427984145546832e+19,-0.01125,241.061229,249.36,,,,,,0.0,215.0,79205.0,20190803,20190803,2019.0,8.0,3.0,22.0,0.0,5.0,42218.91672453703,2019-08-03
5,25633,25633,79206.0,215.0,47.839931,-118.94102,23962.0,7613.0,-23.8,393.35,87.51,409.98,1943.69,0.01005,-0.00514,54.136,9.7,72.0,1.61,,,,,,,116.0,440.0,0.012332,145.0,,11428442456.521189,1.1428442456521187e+19,0.00491,241.05898,249.35,,,,,,0.6846683470286996,215.0,79206.0,20190803,20190803,2019.0,8.0,3.0,22.0,0.0,6.0,42218.91673611111,2019-08-03
6,25634,25634,79207.0,215.0,47.839227,-118.943269,23961.0,7613.0,-23.8,393.37,87.46,410.0,1933.62,0.00364,0.02275,54.144,8.1,72.0,4.66,,,,,,,117.0,384.0,0.012331,140.6403,,11429023539.142595,1.1429023539142597e+19,0.02639,241.056731,249.35,,,,,,1.981811628487213,215.0,79207.0,20190803,20190803,2019.0,8.0,3.0,22.0,0.0,7.0,42218.91674768519,2019-08-03
7,25635,25635,79208.0,215.0,47.838522,-118.945517,23961.0,7613.0,-23.79,393.37,87.53,409.91,1930.35,-0.00305,0.06722,54.007,17.3,72.0,0.0,,,,,,,60.0,381.0,0.012332,139.9,,11428565204.865278,1.1428565204865278e+19,0.06417,241.054483,249.36,,,,,,0.0,215.0,79208.0,20190803,20190803,2019.0,8.0,3.0,22.0,0.0,8.0,42218.91675925926,2019-08-03
8,25636,25636,79209.0,215.0,47.837817,-118.947765,23960.0,7613.0,-23.79,393.39,87.48,409.93,1932.24,0.01006,-0.01325,53.936,9.3,72.0,1.02,,,,,,,141.0,388.0,0.012333,139.9,,11429146264.183723,1.1429146264183724e+19,-0.00319,241.052235,249.36,,,,,,0.4337917526603114,215.0,79209.0,20190803,20190803,2019.0,8.0,3.0,22.0,0.0,9.0,42218.91677083333,2019-08-03
9,25637,25637,79210.0,215.0,47.837113,-118.950013,23960.0,7613.0,-23.78,393.39,87.39,410.01,1937.68,-0.01271,0.00767,53.925,10.5,72.0,1.75,-0.0201,0.1254,0.0162,0.0171,,,103.0,506.0,0.012333,148.2212,,11428687943.364697,1.1428687943364694e+19,-0.00504,241.049987,249.37,-0.0085479064497901,-0.0085479064497901,0.0533287297912278,0.0068893574371442,0.0072720995169856,0.7442207108026216,215.0,79210.0,20190803,20190803,2019.0,8.0,3.0,22.0,0.0,10.0,42218.91678240741,2019-08-03
