yyyymmdd,yyyy-mm-dd,year,month,day,hour,minute,second,julfrac,Latitude,Longitude,Static_Pressure,MSL_GPS_Altitude,OA_PM1_AMS,Sulfate_PM1_AMS,Nitrate_PM1_AMS,Ammonium_PM1_AMS,BC_mass_90_550_nm,OA_PM1_AMS_ambient,Sulfate_PM1_AMS_ambient,Nitrate_PM1_AMS_ambient,Ammonium_PM1_AMS_ambient,BC_mass_90_550_nm_ambient
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,1.0,42218.91667824074,47.843446,-118.929772,393.28,7615.0,0.0041,0.2263,0.0178,0.0176,0.93,0.0017432550734055,0.0962191763686992,0.0075682781235653,0.0074832412907163,0.3954212727480791
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,10.0,42218.91678240741,47.837113,-118.950013,393.39,7613.0,-0.0201,0.1254,0.0162,0.0171,1.75,-0.0085479064497901,0.0533287297912278,0.0068893574371442,0.0072720995169856,0.7442207108026216
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,11.0,42218.91679398148,47.836407,-118.95226,393.42,7613.0,0.11779,0.15202,0.015816,0.024524,0.0,0.0500962529306198,0.0646543201503763,0.0067265670799786,0.0104300917469269,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,12.0,42218.91680555556,47.835702,-118.954507,393.42,7613.0,0.18843,0.21394,0.015736,0.043436,4.65,0.0801427582502249,0.0909926322775201,0.0066928113560767,0.0184741328204466,1.9777308595422487
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,13.0,42218.916817129626,47.834996,-118.956754,393.42,7613.0,-0.2186,0.22184,0.013012,0.03842,1.16,-0.0929746163217065,0.0943526481464199,0.0055342438590029,0.0163407354029275,0.493369418724518
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,14.0,42218.9168287037,47.834291,-118.959,393.42,7613.0,0.026488,0.18125,0.003356,0.016672,0.0,0.0112676429354372,0.077101339551797,0.0014275977684735,0.0070920470786623,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,15.0,42218.91684027778,47.833585,-118.961246,393.4,7613.0,0.24414,0.12324,0.000472,0.024256,3.51,0.103848629632185,0.0524219919549049,0.0002007723158285,0.010317655281225,1.4930314164371643
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,16.0,42218.91685185185,47.83288,-118.963492,393.4,7614.0,0.17746,0.15503,6.985e-14,0.024932,5.85,0.0754792315630362,0.0659390582058915,2.9709367320399436e-14,0.0106043514106256,2.488186096268241
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,17.0,42218.916863425926,47.832175,-118.965738,393.39,7614.0,0.009864,0.17734,0.001072,0.024704,0.0,0.0041953579098917,0.0754262745073196,0.0004559431953978,0.0105071088611076,0.0
20190803,2019-08-03,2019.0,8.0,3.0,22.0,0.0,18.0,42218.916875,47.83147,-118.967983,393.37,7614.0,-0.020056,0.1874,-0.009052,0.02586,10.15,-0.0085294450688711,0.0796977466048291,-0.0038496478242631,0.010997778693708,4.316606873207126
