,index,Unnamed: 0,Time_Stop,Day_Of_Year,Latitude,Longitude,Pressure_Altitude,MSL_GPS_Altitude,Static_Air_Temp,Static_Pressure,CO_DACOM,CO2,H2O_DLH,NO_CL,NO2_CL,O3_CL,HNO3_CITCIMS,HNO3_PM1_NO3_SAGAMC,BC_mass_90_550_nm,OA_PM1_AMS,Sulfate_PM1_AMS,Nitrate_PM1_AMS,Ammonium_PM1_AMS,Smoke_flag,smoke_age,CH2O_ISAF,CH2O_CAMS,jNO2_NO_O3P_CAFS,PAN_GTCIMS,NH3_UIOPTR,convert_ppb_to_molec_cm3,M_molec_cm3,NOx_CL,Longitude_0to360,temperature_K,OA_PM1_AMS_ambient_og,OA_PM1_AMS_ambient,Sulfate_PM1_AMS_ambient,Nitrate_PM1_AMS_ambient,Ammonium_PM1_AMS_ambient,BC_mass_90_550_nm_ambient,DoY_corrected,Time_Stop_corrected,yyyymmdd,RF,year,month,day,hour,minute,second,julfrac,yyyy-mm-dd
0,80499,80499,82801.0,219.0,47.846641,-116.178632,17325.0,5540.0,-7.56,520.24,67.87,410.7,1188.79,0.02277,0.00853,45.314,,184.0,1.11,0.3715,0.3435,-0.0022,0.0091,1.0,21230.0,223.0,93.0,0.011546,67.9291,,14190878640.99993,1.4190878640999926e+19,0.0312999999999999,243.821368,265.59,0.1961712830579371,0.1961712830579371,0.1813858296915246,-0.0011617141930752,0.004805272344084,0.5861376155970665,219.0,82801.0,20190807,20190807,2019.0,8.0,7.0,23.0,0.0,1.0,42222.958344907405,2019-08-07
1,80500,80500,82802.0,219.0,47.847873,-116.180561,17348.0,5547.0,-7.61,519.75,66.93,410.6,1200.71,0.03009,-0.00825,45.163,,184.0,7.19,0.3715,0.3435,-0.0022,0.0091,1.0,21172.0,341.0,83.0,0.011552,65.6,,14180182198.342243,1.4180182198342242e+19,0.02184,243.819439,265.54,0.1960234180149473,0.1960234180149473,0.181249109254736,-0.0011608385454451,0.0048016503470686,3.793831428068564,219.0,82802.0,20190807,20190807,2019.0,8.0,7.0,23.0,0.0,2.0,42222.95835648148,2019-08-07
2,80501,80501,82803.0,219.0,47.849105,-116.182491,17373.0,5555.0,-7.67,519.22,66.77,410.75,1202.95,0.01415,-0.0251,44.976,,184.0,0.0,,,,,1.0,21114.0,151.0,59.0,0.011558,63.1459,,14168923902.851936,1.4168923902851936e+19,-0.01095,243.817509,265.48,,,,,,0.0,219.0,82803.0,20190807,20190807,2019.0,8.0,7.0,23.0,0.0,3.0,42222.95836805556,2019-08-07
3,80502,80502,82804.0,219.0,47.850339,-116.184419,17398.0,5563.0,-7.73,518.68,66.15,410.71,1213.14,0.01546,0.00988,44.368,,184.0,0.0,,,,,1.0,21056.0,164.0,-64.0,0.011567,62.5,,14157387567.005651,1.4157387567005653e+19,0.02534,243.815581,265.42,,,,,,0.0,219.0,82804.0,20190807,20190807,2019.0,8.0,7.0,23.0,0.0,4.0,42222.95837962963,2019-08-07
4,80503,80503,82805.0,219.0,47.851575,-116.186347,17423.0,5571.0,-7.79,518.15,66.14,410.7,1212.32,0.01421,0.01251,44.189,,184.0,0.0,,,,,1.0,20998.0,244.0,90.0,0.011572,62.5,,14146119026.288715,1.4146119026288716e+19,0.02672,243.813653,265.36,,,,,,0.0,219.0,82805.0,20190807,20190807,2019.0,8.0,7.0,23.0,0.0,5.0,42222.958391203705,2019-08-07
5,80504,80504,82806.0,219.0,47.852812,-116.188274,17449.0,5578.0,-7.9,517.6,66.09,410.7,1215.35,0.00604,0.02337,44.152,,184.0,0.93,,,,,1.0,20941.0,166.0,-41.0,0.011573,55.4719,,14136963576.420954,1.4136963576420954e+19,0.02941,243.811726,265.25,,,,,,0.4892224926416778,219.0,82806.0,20190807,20190807,2019.0,8.0,7.0,23.0,0.0,6.0,42222.958402777775,2019-08-07
6,80505,80505,82807.0,219.0,47.854051,-116.190201,17473.0,5586.0,-7.92,517.09,65.87,410.76,1223.76,0.01197,-0.0019,43.951,,184.0,0.0,,,,,1.0,20876.0,232.0,210.0,0.011578,55.4687,,14124099153.107262,1.412409915310726e+19,0.0100699999999999,243.809799,265.23,,,,,,0.0,219.0,82807.0,20190807,20190807,2019.0,8.0,7.0,23.0,0.0,7.0,42222.95841435185,2019-08-07
7,80506,80506,82808.0,219.0,47.855291,-116.192126,17497.0,5594.0,-7.96,516.58,65.58,410.66,1226.57,0.01007,0.01607,43.478,,184.0,0.0,,,,,1.0,20811.0,135.0,257.0,0.011579,56.8,,14112297025.195597,1.4112297025195596e+19,0.02614,243.807874,265.19,,,,,,0.0,219.0,82808.0,20190807,20190807,2019.0,8.0,7.0,23.0,0.0,8.0,42222.95842592593,2019-08-07
8,80507,80507,82809.0,219.0,47.856533,-116.194051,17521.0,5601.0,-8.01,516.07,65.95,410.67,1222.83,0.00632,0.02826,43.394,,184.0,0.93,,,,,1.0,20746.0,155.0,267.0,0.01158,57.5605,,14101023149.44784,1.410102314944784e+19,0.03458,243.805949,265.14,,,,,,0.487978741451732,219.0,82809.0,20190807,20190807,2019.0,8.0,7.0,23.0,0.0,9.0,42222.9584375,2019-08-07
9,80508,80508,82810.0,219.0,47.857776,-116.195974,17544.0,5609.0,-8.07,515.58,65.56,410.78,1226.98,0.01671,0.01368,43.443,,184.0,0.0,,,,,1.0,20681.0,208.0,50.0,0.011587,56.1597,,14090823149.725475,1.4090823149725473e+19,0.03039,243.804026,265.08,,,,,,0.0,219.0,82810.0,20190807,20190807,2019.0,8.0,7.0,23.0,0.0,10.0,42222.95844907408,2019-08-07
