,yyyymmdd,NO$_2$/CO,Fire Name,Mean HWP,Mean HWP Bin,NO$_2$/CO + min
0,20200818T192633,0.001614575510920317,AugustComplex,20.552290975,"[15.0, 22.0)",0.002114575510920317
1,20200819T204855,0.001235070277911398,AugustComplex,63.16310292000001,"[60.0, 68.0)",0.001735070277911398
2,20200820T202947,0.0009700367969411359,AugustComplex,30.742897985000003,"[30.0, 38.0)",0.001470036796941136
3,20200821T201039,0.0007804424391657269,AugustComplex,21.868931234999998,"[15.0, 22.0)",0.001280442439165727
4,20200822T195132,0.0003725770331550755,AugustComplex,20.17006918,"[15.0, 22.0)",0.0008725770331550755
5,20200823T193224,0.000682770033720329,AugustComplex,25.688750295,"[22.0, 30.0)",0.0011827700337203291
6,20200825T203537,0.0007516074918805125,AugustComplex,20.663488535,"[15.0, 22.0)",0.0012516074918805125
7,20200826T201629,0.0003112599257817389,AugustComplex,17.698365535,"[15.0, 22.0)",0.000811259925781739
8,20200828T193814,0.001044325082404269,AugustComplex,22.376666085,"[22.0, 30.0)",0.001544325082404269
9,20200829T210037,0.0001636189974141774,AugustComplex,19.93429738,"[15.0, 22.0)",0.0006636189974141774
10,20200830T204129,0.0002334730133581715,AugustComplex,27.272384185,"[22.0, 30.0)",0.0007334730133581715
11,20200902T194407,0.0002531458864560758,AugustComplex,16.74694863,"[15.0, 22.0)",0.0007531458864560758
12,20200903T192459,0.0001583941833743878,AugustComplex,15.893465925000001,"[15.0, 22.0)",0.0006583941833743878
13,20200903T210629,0.0002167495001102782,AugustComplex,15.893465925000001,"[15.0, 22.0)",0.0007167495001102782
14,20200904T204721,0.0008308242708261729,AugustComplex,21.41955754,"[15.0, 22.0)",0.0013308242708261729
15,20200905T202813,0.0006522079189076377,AugustComplex,26.618281335,"[22.0, 30.0)",0.0011522079189076376
16,20200906T200905,0.0009708376343465845,AugustComplex,33.351640495,"[30.0, 38.0)",0.0014708376343465844
17,20200907T194958,0.0005718513815742684,AugustComplex,44.570050175,"[38.0, 45.0)",0.0010718513815742685
18,20200911T201455,0.0001914920393552751,AugustComplex,22.41183946,"[22.0, 30.0)",0.000691492039355275
19,20200913T193639,0.0004292965059231899,AugustComplex,31.55483123,"[30.0, 38.0)",0.0009292965059231899
20,20200914T191731,0.0004766027292316376,AugustComplex,23.797031795000002,"[22.0, 30.0)",0.0009766027292316376
21,20200914T205901,0.0006120050845372511,AugustComplex,23.797031795000002,"[22.0, 30.0)",0.001112005084537251
22,20200916T202045,0.0005796391020612177,AugustComplex,20.678188034999998,"[15.0, 22.0)",0.0010796391020612178
23,20200919T192320,0.0001062550495773234,AugustComplex,7.224551586999999,"[0.0, 8.0)",0.0006062550495773234
24,20200920T204541,0.0002184292667584344,AugustComplex,20.87270493,"[15.0, 22.0)",0.0007184292667584344
25,20200921T202633,0.0002798598005975299,AugustComplex,18.560887625,"[15.0, 22.0)",0.0007798598005975299
26,20200922T200725,0.000366208576093911,AugustComplex,20.203178925,"[15.0, 22.0)",0.000866208576093911
27,20200924T192908,0.0001225595436128389,AugustComplex,23.372175185,"[22.0, 30.0)",0.000622559543612839
28,20200926T203221,0.0001017364281890427,AugustComplex,30.522764074999998,"[30.0, 38.0)",0.0006017364281890427
29,20200928T195404,0.0005747046810988817,AugustComplex,46.45124105,"[45.0, 52.0)",0.0010747046810988818
30,20200929T193456,0.0003777381404582093,AugustComplex,27.373435219999998,"[22.0, 30.0)",0.0008777381404582094
31,20200930T191547,0.0003550905711936449,AugustComplex,28.956720515,"[22.0, 30.0)",0.0008550905711936449
32,20201003T195951,0.0007555271036961304,AugustComplex,22.78122811,"[22.0, 30.0)",0.0012555271036961304
33,20201004T194043,0.0001410657621238618,AugustComplex,25.450442860000003,"[22.0, 30.0)",0.0006410657621238618
34,20201005T192135,0.0001557191972686423,AugustComplex,16.747525775,"[15.0, 22.0)",0.0006557191972686423
35,20201006T204356,0.0004219034836982319,AugustComplex,31.059446095,"[30.0, 38.0)",0.0009219034836982319
36,20201007T202447,0.0007402749562039074,AugustComplex,23.63248273,"[22.0, 30.0)",0.0012402749562039073
37,20201008T200539,0.0002238265712218754,AugustComplex,13.905923139999999,"[8.0, 15.0)",0.0007238265712218755
38,20201009T194631,0.0002790897498191148,AugustComplex,9.856675931000002,"[8.0, 15.0)",0.0007790897498191147
39,20210707T201333,0.002838979106524964,Beckworth,43.707667945,"[38.0, 45.0)",0.003338979106524964
40,20210709T193526,0.002049777606229794,Beckworth,45.863243015,"[45.0, 52.0)",0.002549777606229794
